IAU #	IAU Code	IAU Name
1	CAP	alpha Capricornids
2	STA	Southern Taurids
3	SIA	Southern iota Aquariids
4	GEM	Geminids
5	SDA	Southern delta Aquariids
6	LYR	April Lyrids
7	PER	Perseids
8	ORI	Orionids
9	DRA	October Draconids
10	QUA	Quadrantids
11	EVI	eta Virginids
12	KCG	kappa Cygnids
13	LEO	Leonids
14	XOR	chi Orionids Complex
15	URS	Ursids
16	HYD	sigma Hydrids
17	NTA	Northern Taurids
18	AND	Andromedids
19	MON	December Monocerotids
20	COM	December Comae Berenicids
21	AVB	alpha Virginids
22	LMI	Leonis Minorids
23	EGE	epsilon Geminids
24	PEG	mu Pegasids
25	NOA	Northern October delta Arietids
26	NDA	Northern delta Aquariids
27	KSE	kappa Serpentids
28	SOA	Southern October delta Arietids
29	DLE	delta Leonids Complex
30	PSC	Piscids Complex
31	ETA	eta Aquariids
32	DLM	December Leonis Minorids
33	NIA	Northern iota Aquariids
34	DSE	delta Serpentids
38	CUR	xi Ursae Majorids
39	NAL	Northern alpha Leonids
40	ZCY	zeta Cygnids
43	ZSE	zeta Serpentids
45	PDF	phi Draconids
46	BCR	beta Craterids
47	DLI	mu Virginids
49	LVI	lambda Virginids
50	VIR	March Virginids Complex
52	OUM	omega Ursae Majorids
55	ASC	alpha Scorpiids
61	TAH	tau Herculids
63	COR	Corvids
65	GDE	gamma Delphinids
66	NSC	Northern omega Scorpiids
67	NSA	Northern mu Sagittariids
69	SSG	Southern mu Sagittariids
73	ZDR	zeta Draconids
76	KAQ	kappa Aquariids
81	SLY	September Lyncids
83	OCG	October Cygnids
86	OGC	October gamma C etids
88	ODR	omicron Draconids
89	PVI	January pi Virginids
90	JCO	January Comae Berenicids
91	JZA	January zeta Aurigids
92	UER	upsilon Eridanids
93	VEL	Puppids Velids II Complex
94	RGE	rho Geminids
95	DCA	delta Cancrids Complex
96	NCC	Northern delta Cancrids
97	SCC	Southern delta Cancrids
98	ECO	epsilon Columbids
99	JSC	Daytime Scutids
100	XSA	Daytime xi Saggittariids
101	PIH	pi Hydrids
102	ACE	alpha Centaurids
103	TCE	Centaurids II Complex
104	GBO	gamma Bootids
105	OCN	Centaurids I Complex
106	API	alpha Pictorids
107	DCH	delta Chamaleontids
108	BTU	beta Tucanids
109	ACN	alpha Carinids
110	AAN	alpha Antliids
111	FCM	February Canis Majorids
112	NDL	Northern delta Leonids
113	SDL	Southern delta Leonids
114	DXC	Daytime chi Capricornids
115	DCS	Daytime Capricornids-Sagittariids
116	DEQ	Daytime epsilon Aquariids
117	DCQ	Daytime c Aquariids
118	GNO	gamma Normids
119	LCE	lambda Centaurids
120	DPA	delta Pavonids
121	NHY	nu Hydrids
122	APX	alpha Pyxidids
123	NVI	Northern March Viginids
124	SVI	Southern March Virginids
125	SAL	Southern alpha Leonids
126	SGE	March delta-Geminids
127	MCA	March Cassiopeiids
128	MKA	Daytime k Aquariids
129	QPE	Daytime q Pegasids
130	DME	delta Mensids
131	DAL	delta Aquilids
133	PUM	April psi Ursae Majorids
134	NGV	Northern gamma Virginids
135	SGV	Southern gamma Virginids
136	SLE	sigma Leonids
137	PPU	pi Puppids
138	ABO	alpha Bootids
139	GLI	gamma Librids
140	XLI	April chi Librids
141	DCP	Daytime chi Piscids
142	MDR	mu Draconids
143	LPE	Daytime lambda Pegasids
144	APS	Daytime April Piscids
145	ELY	eta Lyrids
146	CAU	beta Coronae Australids
147	PAQ	phi Aquariids
148	MLV	May gamma Virginids
149	NOP	Norhtern May Ophiuchids
150	SOP	Southern May Ophiuchids
151	EAU	epsilon Aquilids
